"","partido","proESTADO","fundamentalismo","desconfia"
"1","NENHUM",0.777777777777778,0.195974426638846,1
"2","NENHUM",0.444444444444444,0.479565950719979,0.591867691279161
"3","NENHUM",0.777777777777778,0.264089726689404,1
"4","NENHUM",0.777777777777778,0.73900348895108,1
"5","Kirchnerista",0.777777777777778,0.316074826947044,0.740990143419395
"6","OUTROS",0.444444444444444,0.394217500637485,0.529051082559872
"7","NENHUM",0.666666666666667,0.674406959161239,0.524050760103157
"8","Socialista",0.888888888888889,0.832889510589487,0.364865576980955
"9","Kirchnerista",0.666666666666667,0.867310319565124,0.263205407926312
"10","NENHUM",1,0.222354626668378,0.654220783461464
"11","Socialista",0.333333333333333,0.327240240181462,0.516484509227467
"12","Socialista",0.111111111111111,0.310355829217628,0.607277496557471
"13","NENHUM",0.111111111111111,0.195974426638846,1
"14","NENHUM",0.777777777777778,0.590237229901208,0.516484509227467
"15","NENHUM",0.111111111111111,0.438026269844992,0.58287729069395
"16","NENHUM",0.777777777777778,0.222354626668378,0.58287729069395
"17","NENHUM",0.222222222222222,0.47512865105345,0.607277496557471
"18","NENHUM",0.444444444444444,0.655249550338559,0.8503943252417
"19","NENHUM",0.666666666666667,0.623469711137701,0.626912923023625
"20","NENHUM",0.444444444444444,0.590237229901208,0.702197973489177
"21","NENHUM",0.666666666666667,0,0.591991264815808
"22","Kirchnerista",1,0,0.910491006423219
"23","OUTROS",0.444444444444444,0.472260326861461,1
"24","Kirchnerista",0.777777777777778,0.649382015558347,0.442709033588144
"25","NENHUM",0.777777777777778,0.376401812748496,0.872924266887606
"26","OUTROS",0.777777777777778,0.865101279427259,0.518734239067019
"27","Kirchnerista",0.444444444444444,0.657089149531866,0.389355330472698
"28","NENHUM",0.555555555555556,0.23154173320401,0.517955211051163
"29","NENHUM",0.444444444444444,0.685683641080748,0.79519112111554
"30","NENHUM",0.444444444444444,0.668410342055257,1
"31","Kirchnerista",0.777777777777778,0.347958535949055,0.384338671339643
"32","UCR",0.777777777777778,0.792562565108671,0.899631195393559
"33","NENHUM",0.777777777777778,0.720406084317662,0.370616848664247
"34","NENHUM",1,0.792562565108671,1
"35","Kirchnerista",0.888888888888889,0.647760407168094,0.240344428781934
"36","NENHUM",0.777777777777778,0.130576539188413,0.872924266887606
"37","NENHUM",0.444444444444444,0.716462438527231,0.644515232085297
"38","NENHUM",0.666666666666667,0.324785337769658,0.631781748626984
"39","Socialista",1,0.432263286139468,0.773340465409292
"40","OUTROS",0.555555555555556,0,0.773340465409292
"41","Socialista",0.666666666666667,0.614768090836595,0.845026277318978
"42","NENHUM",0.333333333333333,0.702557117312366,0.415923811734808
"43","PJ",0.777777777777778,0.562489074958401,0.415923811734808
"44","NENHUM",NA,0.685683641080748,0.650470556781925
"45","OUTROS",1,1,0.845854246625048
"46","Kirchnerista",0.666666666666667,0.221991505766252,0.588955953974782
"47","OUTROS",NA,0.728208399893667,0.638155818642855
"48","Kirchnerista",0.666666666666667,0.097523840293534,0.677605281844948
"49","NENHUM",0.666666666666667,0.421036605681904,0.631781748626984
"50","Kirchnerista",0.888888888888889,0.20481687059081,0.777393767162332
"51","NENHUM",1,0.161305892447504,0.621538013453891
"52","OUTROS",0.666666666666667,0.37940203731429,0.384338671339643
"53","NENHUM",0.666666666666667,0.195974426638846,0.607277496557471
"54","NENHUM",0.666666666666667,0.195974426638846,0.588955953974782
"55","Kirchnerista",1,0,0.540944313707112
"56","OUTROS",0.222222222222222,0.262742323032529,0.596762595109883
"57","OUTROS",NA,0,1
"58","NENHUM",0.666666666666667,0.130576539188413,1
"59","NENHUM",0.444444444444444,0,0.897240419896879
"60","NENHUM",1,0.097523840293534,0.777393767162332
"61","Kirchnerista",1,0,0.718347377859819
"62","OUTROS",0,0.358152101000482,0.897240419896879
"63","Kirchnerista",1,0.37514868680403,0.551490195712965
"64","Kirchnerista",1,0.53203452983486,0.934766836112515
"65","NENHUM",NA,0.685683641080748,0.638112762275432
"66","Kirchnerista",1,0.492955655160616,1
"67","OUTROS",0.444444444444444,0.161305892447504,0.68701634269404
"68","Kirchnerista",0.444444444444444,0.435908184185153,0.567218513960099
"69","Kirchnerista",0.444444444444444,0.402385634932009,0.639940847834168
"70","NENHUM",0.888888888888889,0.26459652494647,1
"71","NENHUM",0.666666666666667,0.26459652494647,1
"72","Kirchnerista",0.222222222222222,0.597030563521849,0.498373636559743
"73","Kirchnerista",0.444444444444444,0.275625779300939,0.607277496557471
"74","NENHUM",0.888888888888889,0.534844846608005,0.866728257577821
"75","NENHUM",0.888888888888889,0.316074826947044,1
"76","NENHUM",0.444444444444444,0.481131303656955,0.862580990524839
"77","OUTROS",0.444444444444444,0.394217500637485,0.834170361309668
"78","NENHUM",0.555555555555556,0.264127090664047,0.834170361309668
"79","Socialista",0.444444444444444,0.240052714070579,1
"80","OUTROS",0.444444444444444,0,1
"81","Kirchnerista",0.666666666666667,0.700630301672959,0.548692334149248
"82","OUTROS",0,0.615263184119676,0.498021776910756
"83","UCR",0.555555555555556,0.472995281854309,0.897240419896879
"84","OUTROS",0.111111111111111,0.792562565108671,0.833639546576217
"85","UCR",0.111111111111111,1,0.651527408312005
"86","UCR",0.444444444444444,1,0.803795156722358
"87","OUTROS",0.555555555555556,1,0.95126953470741
"88","NENHUM",0.666666666666667,0.762324351297832,0.647186568045446
"89","Kirchnerista",0.777777777777778,0,0.717328823331831
"90","Kirchnerista",1,0,0.649293601272161
"91","Kirchnerista",0.777777777777778,0,0.543160026793965
"92","Socialista",0.777777777777778,0.344602307842867,0.558778624467669
"93","NENHUM",0.888888888888889,0,0.647186568045446
"94","Kirchnerista",0.888888888888889,0.240439674013055,0.563379864346649
"95","NENHUM",0.333333333333333,0.811272338781046,0.735512529319736
"96","Kirchnerista",0.888888888888889,0.832889510589487,0.631781748626984
"97","OUTROS",1,0.761185566815248,0.669856099070728
"98","OUTROS",NA,1,0.600548511312502
"99","NENHUM",0.666666666666667,0.250942294580152,1
"100","Kirchnerista",0.888888888888889,0.240439674013055,0.769628489913932
"101","Socialista",0.444444444444444,0.097523840293534,0.607277496557471
"102","OUTROS",0.333333333333333,0.376401812748496,0.564229773521753
"103","Kirchnerista",0.888888888888889,0.130576539188413,0.543160026793965
"104","Kirchnerista",0.666666666666667,0.297832021846112,0.4189387094104
"105","Socialista",0.666666666666667,0.53203452983486,0.548692334149248
"106","NENHUM",0.777777777777778,0.506748613613001,0.47400719048418
"107","Socialista",0.555555555555556,0.559818727283626,0.364413550048924
"108","UCR",0.777777777777778,0.544639024621179,0.44694626511372
"109","NENHUM",0.666666666666667,0.568872568605135,0.352080788571992
"110","NENHUM",0.222222222222222,0.370385490562056,0.47400719048418
"111","NENHUM",0.666666666666667,0.568766363058628,0.79519112111554
"112","Kirchnerista",0,0.130576539188413,0.266009239674857
"113","Socialista",1,0,0.777393767162332
"114","OUTROS",0.777777777777778,0,0.581136843702831
"115","NENHUM",0,0.0672584992960724,1
"116","OUTROS",0.777777777777778,0.393411878433754,0.722374772538949
"117","OUTROS",0.666666666666667,0.590237229901208,0.798884014318046
"118","Kirchnerista",0.222222222222222,0.677435408259678,0.647186568045446
"119","UCR",0.777777777777778,0.611918937074323,0.703924723635391
"120","UCR",0.888888888888889,0.264127090664047,1
"121","Kirchnerista",0.666666666666667,0.58786663831309,0.631781748626984
"122","Socialista",0.888888888888889,0.472457000642735,0.925549652989224
"123","OUTROS",0.666666666666667,0.394217500637485,0.612146344033572
"124","Socialista",0.666666666666667,0.421036605681904,0.703924723635391
"125","OUTROS",0.888888888888889,0.506721647381865,0.95126953470741
"126","NENHUM",NA,0.23154173320401,0.489600634189564
"127","PJ",0.888888888888889,0.195974426638846,0.588955953974782
"128","Kirchnerista",1,0.195974426638846,0.588955953974782
"129","PJ",0.666666666666667,0.443091564720234,0.438572238759931
"130","OUTROS",0.444444444444444,0.728040321728779,0.80551025692043
"131","NENHUM",0.555555555555556,0.62845253000852,0.897240419896879
"132","Kirchnerista",0.222222222222222,0.644934398652803,0.415117285244875
"133","Kirchnerista",0.666666666666667,0.597635394129475,0.524050760103157
"134","Kirchnerista",0.555555555555556,0,0.353235803696173
"135","Kirchnerista",0.777777777777778,0.521377062544337,0.455386610736937
"136","NENHUM",0.111111111111111,0.390946324478411,0.827267947431467
"137","NENHUM",0.222222222222222,0.533731733355561,0.80099793996283
"138","OUTROS",0.222222222222222,0.377071028985416,0.875583894230145
"139","Socialista",0.222222222222222,0.430129201527962,0.749668546331157
"140","OUTROS",0.333333333333333,0.439355633741299,0.749668546331157
"141","NENHUM",0.666666666666667,0.728208399893667,0.588955953974782
"142","OUTROS",0.555555555555556,0.716462438527231,0.540769386938447
"143","Kirchnerista",0.444444444444444,0.240245141605379,0.564229773521753
"144","Socialista",0.666666666666667,0.264089726689404,0.95126953470741
"145","Kirchnerista",0.666666666666667,0,0.631781748626984
"146","PJ",0.444444444444444,0.47512865105345,1
"147","NENHUM",0,0.196430882523353,0.376200352654028
"148","NENHUM",NA,0.264127090664047,0.80114299702246
"149","NENHUM",NA,0.483348013641327,0.737373575519606
