"","partido","proESTADO","fundamentalismo","desconfia"
"1","PDT",0.25,0.196276662846959,0.4
"2","PFL",0.75,0.33750037772193,0.8
"3","OUTROS",0.25,0.615778837623641,0.6
"4","OUTROS",0.75,0.401596960952618,0.6
"5","PSDB",0.5,0.529303166027807,0.6
"6","OUTROS",0.5,0.660831153163273,0.8
"7","OUTROS",0.5,0.423560601016383,0.6
"8","OUTROS",0.5,0.316605114471772,0.6
"9","PT",0.5,0.552313681440143,0.2
"10","OUTROS",0.75,0.457362461078816,0.2
"11","PT",0.25,0.196352402104973,0.6
"12","OUTROS",0.5,0.515466372550813,0.8
"13","OUTROS",0,0.175804925793493,0.4
"14","OUTROS",0.25,0.196352402104973,0.8
"15","OUTROS",0.5,0.509265744119121,0
"16","PDT",0.5,0.325864713327208,0
"17","OUTROS",0.5,0.308140874300168,0.6
"18","OUTROS",1,0.81348823182752,0
"19","PT",0.5,0.615659558485296,1
"20","PFL",1,0.582445159669681,0.6
"21","PDT",0.5,0.301675640807987,0.4
"22","OUTROS",0.25,0.196352402104973,0.6
"23","OUTROS",0.5,0.464985820295089,0.4
"24","MDB",0.75,0.316128127303544,1
"25","OUTROS",0.75,0.316605114471772,0.8
"26","MDB",1,0.397303600158975,0.4
"27","MDB",0.5,0.316605114471772,0.2
"28","MDB",1,0.490779228730056,0.4
"29","PSDB",0.25,0.346478681725158,0.2
"30","PSDB",0.5,0.230580666856809,0.4
"31","PT",0.25,0.594363092529932,0.2
"32","PT",0.25,0.394959609325359,0.6
"33","PT",0.25,0.532320395291837,0.8
"34","PT",0.5,0.171357857180389,0.6
"35","PT",0.5,0.337663300735376,0.4
"36","PT",0,0.631062484640706,0.8
"37","PSDB",1,0.316605114471772,0.8
"38","PT",0,0.12909938616907,0.6
"39","OUTROS",0.75,0.482552219604597,0.4
"40","PT",0.25,0.656734467988388,0.6
"41","OUTROS",0.75,0.550009323583366,0.8
"42","PT",0.25,0.316605114471772,0.2
"43","PFL",0.75,0.530493371090391,0.4
"44","PSDB",0.5,0.444483195239497,0.6
"45","OUTROS",1,0.748740863770606,0.4
"46","PT",0.5,0.552565453203764,0.6
"47","PFL",1,0.478647121129128,0.4
"48","PFL",0.75,0.56738751023084,0.4
"49","PFL",0.5,0.27772487452258,0.2
"50","MDB",0.75,0.540335587150316,0.2
"51","MDB",0.75,0.373116906737516,0.8
"52","OUTROS",1,0.658451301786678,0.2
"53","OUTROS",0.75,0.755167520422273,0.6
"54","OUTROS",1,0.489195326709683,0.6
"55","OUTROS",0.75,0.398619677567942,0.2
"56","OUTROS",1,0.139789129558137,0.8
"57","MDB",0.75,0.42314935596938,0.4
"58","OUTROS",0.5,0.439691162258321,0.8
"59","OUTROS",0.75,0.491084592138682,0.2
"60","PFL",0.25,0.284950450667191,0.4
"61","PFL",0.75,0.381410298199615,0.8
"62","PFL",0.75,0.726976706531971,0
"63","OUTROS",0.25,0.196352402104973,0.8
"64","PFL",0.5,0.483751787940524,0.6
"65","MDB",0.25,0.196352402104973,NA
"66","OUTROS",0.75,0.201761967334213,0.4
"67","OUTROS",0.5,1,0.2
"68","OUTROS",0.5,0.562968557062941,NA
"69","PFL",0.5,0.315205615926859,0.4
"70","OUTROS",1,0.240811087271756,0.4
"71","PT",0.25,0.291465808172617,0.4
"72","PT",0.25,0.404868687252779,0.8
"73","PT",0.25,0.679175519215587,0.4
"74","PT",0.25,0.636978266203765,0.4
"75","PT",0.5,0.112662282945052,0.4
"76","PT",0.25,0.26584018242308,0.6
"77","PT",0.25,0.46666380652829,0.6
"78","PT",0.5,0.380760573039546,0.6
"79","PT",0.25,0.126433213595662,0.4
"80","PSDB",1,0.253506517925471,0.4
"81","PSDB",0.25,0.288891732336747,1
"82","PSDB",0.5,0.303999121171298,0.4
"83","MDB",0.75,0.795215040373529,0.8
"84","MDB",0.5,0.390270975174576,0.6
"85","MDB",0.75,0.300240456784072,0.6
