"","partido","proESTADO","fundamentalismo","desconfia"
"1","PSDB",1,0.146711746989646,0.907837128620633
"2","NENHUM",0.888888888888889,0.478744537172525,0.351472661512399
"3","PSDB",0.222222222222222,0.593174451604483,0.332783484233121
"4","PT",0.222222222222222,0.472917221324581,0.332783484233121
"5","PFL",0.333333333333333,0.654842923828039,0.332783484233121
"6","PFL",0.444444444444444,0.45043147888365,0.579300324465752
"7","NENHUM",0.444444444444444,0.937834225751011,0.332783484233121
"8","PT",0.888888888888889,0.379123867729187,0.651518374554593
"9","PSDB",0.222222222222222,0.516596749792651,0.651518374554593
"10","PT",0.888888888888889,0.443601882496857,0.51418772972393
"11","PT",1,0.611749257868459,0.728514468027021
"12","PSDB",1,0.537842526950612,0.481433120376919
"13","NENHUM",0.444444444444444,0.439750697170491,0.750027160825656
"14","PT",0.555555555555556,0.749404046163269,0
"15","PT",1,0.643633264193821,0.412344963414795
"16","MDB",0,0.887194867144519,0.813120104244243
"17","PT",0.222222222222222,0.433591417565479,0.727913561774169
"18","PSDB",0.555555555555556,0.573354140863941,0.466110954958188
"19","MDB",0.555555555555556,0.562921725769736,0.69248217452463
"20","PT",0.444444444444444,0.944129756310688,0.898416960708347
"21","PSDB",0,0.775510493549385,0.430004162720507
"22","NENHUM",0.555555555555556,0.800631967708246,0.755374530402797
"23","NENHUM",1,0.333252013114096,0.651518374554593
"24","MDB",1,0.751697789687707,0.526439694830553
"25","PT",0.777777777777778,0.595227403073744,0.280073257021036
"26","NENHUM",1,0.707056972183172,0.509967978279812
"27","NENHUM",0.666666666666667,0.466878416818346,0.548634182021757
"28","MDB",1,0.500353676416853,0.568056732255153
"29","PT",1,0.868621035827495,0.458631148216756
"30","NENHUM",0.555555555555556,0.691029685864322,0.676225030475149
"31","PT",0.111111111111111,0.502422038984639,0.326047855318529
"32","PT",0.444444444444444,0.875966655647006,0.515420569741585
"33","PT",0,0.361248917993225,0.354814977925274
"34","MDB",0.111111111111111,0.469279224985056,0.540950773603237
"35","PT",0.222222222222222,0.488094805687044,0.656000579854916
"36","PT",1,0.454131754649634,0.617646651698478
"37","PDT",0.666666666666667,0.298308898772352,0.51418772972393
"38","PT",1,0.146102232897631,0.431527676136999
"39","PT",0.111111111111111,0.531055662532708,0.438326172257288
"40","PT",0.222222222222222,0.400078630298447,0.568056732255153
"41","NENHUM",1,0.510237991633427,0.750027160825656
"42","PT",1,0.38669571029576,0.351472661512399
"43","NENHUM",1,0.506410214600936,0.675454095577638
"44","NENHUM",1,0.591313960302461,0.588883320750299
"45","NENHUM",0.777777777777778,0.816948493210158,0.628245911949959
"46","PT",0,0.72369771509038,0.532221734417895
"47","NENHUM",0.444444444444444,0.336400515257838,0.656156139743795
"48","NENHUM",0,0.576139917783827,1
"49","NENHUM",0.777777777777778,0.805210609565502,0.58185975940768
"50","NENHUM",0,0.603766597225955,0.555069005557209
"51","PT",NA,0.473669182826622,0.406553189430232
"52","PT",0.333333333333333,0.583104902739759,0.442760971115263
"53","PT",0,0.687669933025677,0.668537570013932
"54","PT",0.111111111111111,0.519614126588864,0.209809744160965
"55","PT",0.222222222222222,0.394134183549716,0.505327841599146
"56","PT",0,0.293443972399224,0.73750467861873
"57","OUTROS",0.111111111111111,0.781488893208077,0.351472661512399
"58","PSDB",0.111111111111111,0.633311964224739,0.470637079953199
"59","PT",0.333333333333333,0.709448382058213,0.617830656208724
"60","MDB",0,0.472991697482203,0.451297883438349
"61","PT",1,0.688369152371405,0.396360803231752
"62","PT",0.555555555555556,0.666679640142704,0.419822955226793
"63","PT",0,0.732962083206981,0.0699300600763306
"64","NENHUM",0.111111111111111,0.400805036536251,0.466110954958188
"65","NENHUM",NA,0.883187124532308,0.553999660428556
"66","NENHUM",0.111111111111111,0.590857839650284,0.328350520738134
"67","NENHUM",0.888888888888889,0.353884660162188,0.53212912827034
"68","NENHUM",0.111111111111111,0.903279355822117,0.779265074147135
"69","MDB",0.111111111111111,0.892723745560187,0.652562422632513
"70","MDB",1,0.699444504725203,0.396360803231752
"71","PT",0,0.550828857248112,0.628768636057748
"72","NENHUM",0.444444444444444,0.561019139269813,0.351472661512399
"73","NENHUM",0.555555555555556,0.926537521349747,0.519255173325929
"74","PT",0.666666666666667,0.884348917844285,0.26506379413976
"75","PT",0.555555555555556,0.469467957210791,0.568056732255153
"76","NENHUM",0,0.727835842383972,0.227033679204368
"77","NENHUM",0.777777777777778,0.415385139680598,0.6592252835571
"78","PT",0,0.298271811637019,0.836440532857498
"79","NENHUM",0.222222222222222,0.693775955560677,0.662083897643946
"80","MDB",0,0.574854587126093,0.463297484529269
"81","PT",0.222222222222222,0.63743361485631,0.525374705991362
"82","PT",0.555555555555556,0.758897590049662,0.971657191529812
"83","OUTROS",0.555555555555556,0.548079649468208,0.692981094264568
"84","MDB",0.555555555555556,0.699162803266596,0.595364715147475
"85","NENHUM",0.555555555555556,0.471884727215661,0.813315122716321
"86","PT",0.444444444444444,0.699308775574514,0.790476010427993
"87","PT",0.666666666666667,0.570281894488779,0.450791489812434
"88","PT",1,0.895421282292119,0.431598656831732
"89","PT",1,0.663126468655187,0.520904702094263
"90","NENHUM",0.555555555555556,0.716820875975706,0.861051872324575
"91","PT",1,0.726217556372281,0.583722748084907
"92","NENHUM",1,0.623316085186159,1
"93","NENHUM",1,0.607481085722678,0.746756784994557
"94","NENHUM",0,0.609113268112417,0.671837866588421
"95","NENHUM",0.555555555555556,0.713549820749074,0.935714626680968
"96","PFL",0.666666666666667,0.748350897874849,0.765496021197979
"97","NENHUM",0.444444444444444,0.764314493012944,0.771826145555972
"98","PT",0.777777777777778,0.598889075047871,0.499080034478533
"99","PT",0.666666666666667,0.569747426204702,0.49812399501688
"100","OUTROS",0.222222222222222,0.801464947105009,0.414845381841299
"101","PT",0.444444444444444,0.523235426141559,0.568056732255153
"102","PT",0.111111111111111,0.568744319562547,0.568056732255153
"103","NENHUM",1,0.937822803163485,0.430004162720507
"104","PT",0.222222222222222,0.511252287798135,0.431598656831732
"105","PSDB",0.888888888888889,0.494478689727545,0.609482778945144
"106","PT",0.333333333333333,0.573681251071525,0.532221734417895
"107","PT",0.888888888888889,0.471443505513717,0.622505007450302
"108","NENHUM",1,0.446581750811663,0.568056732255153
"109","PT",0.777777777777778,0.521906152268918,0.568056732255153
"110","PT",0.888888888888889,0.399493774042275,0.592135937055715
"111","NENHUM",0.555555555555556,0.875588367330106,0.577102601549545
"112","PT",0.333333333333333,0.880302082200855,0.595364715147475
"113","PT",0.444444444444444,0.500157665333826,0.547522889830554
"114","PT",0.333333333333333,0.627631978327365,0.390143342475658
"115","PT",0.666666666666667,0.604608177271213,0.577102601549545
"116","PT",0.444444444444444,0.545694621185374,0.499080034478533
"117","PT",0.555555555555556,0.842250824674746,1
"118","PSDB",0.222222222222222,0.543363088432568,1
"119","NENHUM",0,0.797934032476708,0.569610090300458
"120","PT",0.666666666666667,0.663166641592048,0.351472661512399
"121","OUTROS",1,0.989025190065459,0.583722748084907
"122","OUTROS",0,0.505670269718292,0.332783484233121
"123","PSDB",0.555555555555556,0.79282316968533,0.586945188281009
"124","PT",0.111111111111111,0.702203625777807,0.583722748084907
"125","PT",0.444444444444444,0.594402465364931,0.332783484233121
"126","PSDB",0.444444444444444,0.696012004701027,0.583722748084907
"127","PT",0.333333333333333,0.66003988838719,0.351472661512399
"128","PT",0.111111111111111,0.544354419079344,0.873027907598687
"129","PT",0.444444444444444,0.614679774839282,0.499080034478533
"130","PSDB",0.666666666666667,0.427079392917652,0.674778896785969
"131","NENHUM",0.777777777777778,0.935849324512606,0.481433120376919
"132","NENHUM",0.111111111111111,0.513203653612123,0.211509420481795
"133","MDB",0.555555555555556,0.961542481035731,0.393408161240099
"134","NENHUM",1,0.747367049672034,0.576605192985243
"135","PT",0.111111111111111,0.586612877219311,0.579300324465752
"136","MDB",0,0.548496961783354,0.499080034478533
"137","NENHUM",0.888888888888889,0.723111208319979,0.471710365759707
"138","PT",1,0.425350958090672,0.731687572311754
"139","NENHUM",1,0.681666379686588,0.328403999933211
"140","NENHUM",1,0.609555976256394,0.499080034478533
"141","PT",1,0.590540208933345,0.579387185390539
"142","PT",0.555555555555556,0.570232020534066,0.496449533781544
"143","PSDB",1,0.930351755222224,0.655759017438822
"144","PT",0.333333333333333,0.83674756603503,0.523086100652067
"145","PT",0.111111111111111,0.517815489144369,0.570449247114134
"146","PT",0,0.763108185133261,0.873027907598687
"147","PT",1,0.449554139308523,0.695450041833906
"148","OUTROS",0.111111111111111,0.737922527136564,0.487317544418357
