"","...1","fundamentalismo","desconfia","E179WVS","partido","proMERCADO"
"1",508,0.440680451742063,0.388174346084991,152007,"PS",0.555555555555556
"2",509,0.440401346864467,0.555921567406441,152007,"PS",0.555555555555556
"3",510,0.0792464582470302,0.710238257369442,152007,"PS",0.333333333333333
"4",511,0.703063775090814,0.681968557065005,152007,"PS",0.444444444444444
"5",512,0.543277750904071,1,152007,"PS",0.222222222222222
"6",513,0.567481950287772,0.517250295868152,152007,"PS",0
"7",514,0.460734724436625,0.731151719454992,152007,"PS",0.111111111111111
"8",515,0.16105240974309,0.642792111213818,152007,"PS",0.222222222222222
"9",516,0.52993558657149,0.420549609230815,152007,"PS",0.555555555555556
"10",517,0.663898004241132,0.670678062797013,152007,"PS",0
"11",518,0.433260593452681,0.754327325619178,152007,"PS",0.666666666666667
"12",519,0.264340314124875,1,152007,"PS",0.111111111111111
"13",520,0.615130427306883,0.554403757509067,152007,"PS",0.222222222222222
"14",521,0.494087140962501,0.444588003945525,152007,"PS",0.111111111111111
"15",522,0.703009566485103,0.795553243539877,152007,"PS",1
"16",523,0.747429435892515,0.531194715972731,152007,"PS",0.444444444444444
"17",524,0.0792464582470302,0.350318621523596,152007,"PS",0.444444444444444
"18",525,0.846406878238007,0.633233097416934,152007,"PS",0.333333333333333
"19",526,0.260809090448105,0.601075223963021,152007,"PS",0.555555555555556
"20",527,0.349412646506585,0.80285970259349,152007,"PS",0.333333333333333
"21",528,0.498297895350758,0.452761586269942,152007,"PS",0.111111111111111
"22",529,0.383897770517225,0.64350134131097,152007,"PS",0.111111111111111
"23",530,0.177350661522915,0.443494915837723,152007,"PS",0.222222222222222
"24",531,0.747429435892515,0.517250295868152,152007,"PS",0
"25",532,0.236475882679013,0.847462917966785,152007,"PS",0.333333333333333
"26",533,0.364990809707181,0.595963092098397,152007,"PS",0.222222222222222
"27",534,0.640013768364262,0.429477243290776,152007,"PS",0.222222222222222
"28",535,0.0966832321796612,0.517250295868152,152007,"PS",0.555555555555556
"29",536,0.492437514106847,0.452695670341432,152007,"PS",0.333333333333333
"30",537,0.364990809707181,0.314583727323192,152007,"PS",0.888888888888889
"31",538,0.302017702054922,0.287167517346517,152007,"PS",0
"32",539,0.305105732705983,0.607921347342518,152007,"PS",0.111111111111111
"33",541,0.645882209969867,0.535332129922915,152007,"PS",0.666666666666667
"34",542,0.498297895350758,0.551976945157041,152007,"PS",0
"35",543,0,0.593320418444628,152007,"PS",0.666666666666667
"36",544,0.498297895350758,0.542291707810757,152007,"PS",0.555555555555556
"37",545,0.470919630147194,0.448666238928076,152007,"PS",0.111111111111111
"38",546,1,0.655472685027781,152007,"PS",1
"39",547,0.759186941310895,0.619572866528158,152007,"PS",1
"40",548,0.711844073879696,0.517250295868152,152007,"PS",0.555555555555556
"41",549,0.537476986556682,0.531194715972731,152007,"PS",0.666666666666667
"42",550,0.593445823140181,0.429477243290776,152007,"PS",0.777777777777778
"43",551,0.636724526057431,0.0563768559549917,152007,"PS",0.777777777777778
"44",552,0.122331353786952,0.814103122648385,152007,"PS",0.111111111111111
"45",553,0.341768019213625,0.413655815784202,152007,"PS",0.333333333333333
"46",554,0.716019489521716,0.918231069808429,152007,"PS",0.555555555555556
"47",555,0.498297895350758,0.448426591156077,152007,"PS",0
"48",556,0.209865721132608,0.655524324911346,152007,"PS",0
"49",557,1,0.314583727323192,152007,"PS",0
"50",558,0.499603568995862,0.578103245497448,152007,"PS",0.444444444444444
"51",559,0.400046585124191,0.598048786423032,152007,"PS",0.666666666666667
"52",560,0.648606213855592,0.460534490587558,152007,"PS",0.111111111111111
