"","partido","proESTADO","fundamentalismo","desconfia"
"1","Nacional",0.6,0.3971141000108,0.0252969527584917
"2","Nacional",0.6,1,0.0252969527584917
"3","Frente Amplio",0.8,0,0.5
"4","Nacional",0.1,0.657043416599326,0.363298943083189
"5","Frente Amplio",0.9,0,0.0252969527584917
"6","Nacional",0.5,0.748343204575799,0.424702114135444
"7","Nacional",0.5,0.657043416599326,0
"8","Frente Amplio",0.9,0,0.262704104460141
"9","Nacional",0.4,0,0.5
"10","Nacional",0.4,0.3971141000108,0.12589179138154
"11","Frente Amplio",0.5,0,0.399405161376952
"12","Frente Amplio",0.8,0,0
"13","Nacional",0.6,0.3971141000108,0.262704104460141
"14","Frente Amplio",0.8,0,0.5
"15","Frente Amplio",0.8,0,0.62589179138154
"16","Frente Amplio",0.8,0,0.262704104460141
"17","Colorado",0.5,0.0281977306934666,0.399405161376952
"18","Nacional",0.6,0,0
"19","Frente Amplio",0.9,0,0.0758908582754753
"20","Frente Amplio",0.8,0,0.363298943083189
"21","Frente Amplio",0.6,0,0.0505939055169835
"22","Nacional",0.6,0,0.136701056916811
"23","Frente Amplio",0.9,0,0.0252969527584917
"24","Frente Amplio",0.9,0,0.0252969527584917
"25","Frente Amplio",0.8,0,0.363298943083189
"26","Nacional",0.6,0.657043416599326,0
"27","Frente Amplio",0.8,0.520881652954095,0.0505939055169835
"28","Frente Amplio",0.7,0,0.176485696898523
"29","Frente Amplio",0.8,0,0.0252969527584917
"30","Frente Amplio",0.9,0,0.399405161376952
"31","Frente Amplio",0.6,0.3971141000108,0.12589179138154
"32","Nacional",0.5,0.3971141000108,0.399405161376952
"33","Frente Amplio",1,0,0.838001990324697
"34","Frente Amplio",0.9,0,0.0252969527584917
"35","Frente Amplio",0.5,0,0
"36","Frente Amplio",0.8,0,0.5
"37","Nacional",0.4,0,0
"38","Colorado",0.4,0,0.399405161376952
"39","Nacional",0.6,0,0.0505939055169835
"40","Frente Amplio",0.8,0,0.363298943083189
"41","Frente Amplio",0.9,0,0.12589179138154
"42","OUTROS",0.6,0,0
"43","Frente Amplio",0.8,0,0.262704104460141
"44","Frente Amplio",1,0,0.100594838623048
"45","Frente Amplio",0.9,0.3971141000108,0.0505939055169835
"46","Frente Amplio",0.9,0,0.12589179138154
"47","Nacional",0.6,0.657043416599326,0.0252969527584917
"48","Colorado",0.6,0,0.161998009675303
"49","OUTROS",1,0.3971141000108,0.863298943083189
"50","Frente Amplio",0.9,0,0
"51","Frente Amplio",0.9,0,0.288001057218632
"52","Frente Amplio",0.9,0,0.0252969527584917
"53","Frente Amplio",0.6,0,1
"54","Frente Amplio",0.7,0,0.363298943083189
"55","Frente Amplio",0.8,0,0.762592848298351
"56","OUTROS",0.5,0.530345805310641,0.0505939055169835
"57","Frente Amplio",0.9,0,0.363298943083189
"58","Frente Amplio",0.9,0,0.262704104460141
"59","Colorado",0.6,0.520881652954095,0.399405161376952
"60","Colorado",0.3,0.657043416599326,0.5
"61","Frente Amplio",0.8,0,0
"62","Colorado",0.5,0,0.399405161376952
"63","Colorado",0.4,0,0.262704104460141
"64","Colorado",0.6,0,0.5
"65","Nacional",0.5,1,0.0252969527584917
"66","Nacional",0.5,0,0.5
"67","Nacional",0.5,0,0.5
"68","Nacional",0.4,0,0.5
"69","Nacional",0.5,0,0.5
