"","partido","proESTADO","fundamentalismo","desconfia"
"1","NENHUM",0,0,0.48738041530451
"2","Frente Amplio",0.444444444444444,0.53799333409848,0.410554449340652
"3","OUTROS",0.333333333333333,0.560312911070762,0.299572002331129
"4","Nacional",0,0.602491992045891,0.299515467805962
"5","OUTROS",0.444444444444444,0.330284056353325,0.648818510429662
"6","OUTROS",0,0.602491992045891,0.338872145606497
"7","OUTROS",0.111111111111111,0.35548122132577,0.654758825623889
"8","NENHUM",0.555555555555556,0.157924762598149,0.747321048220183
"9","Frente Amplio",0.444444444444444,0.278391099715376,0.633156132520715
"10","Nacional",NA,0.543695747086335,0.585477745508269
"11","Nacional",0,0.602491992045891,0.55590203010765
"12","NENHUM",NA,0.492066880648446,0.38756179533616
"13","Nacional",0.444444444444444,0.408906198940158,0.446122500435438
"14","Colorado",1,0.452676438564783,0.465688542635417
"15","Frente Amplio",NA,0.602491992045891,0.736238876002422
"16","Colorado",0.666666666666667,0.384408721122614,0.75319537025905
"17","OUTROS",1,0.437485064223572,0.505647116690305
"18","Colorado",0.777777777777778,0.52696893020054,0.358878096152789
"19","Nacional",1,0.27027772291532,0.223461519964969
"20","Colorado",0.444444444444444,0.255903632826976,0.560740722881517
"21","Nacional",0.444444444444444,0.298713030575699,0.409510565707845
"22","Colorado",1,0.405271327650983,0.843307730716059
"23","OUTROS",1,0.39155035365163,0.552910361716968
"24","OUTROS",0.333333333333333,1,0.602910792254484
"25","Nacional",0.555555555555556,0.602491992045891,0.483488524952324
"26","Frente Amplio",0.444444444444444,0.261150241859403,0.465688542635417
"27","OUTROS",0.666666666666667,0.303554959908003,0.693640695639757
"28","Frente Amplio",0.888888888888889,0.44115857462837,0.164276339682516
"29","Frente Amplio",0.333333333333333,0.320869416285326,0.637358894575263
"30","NENHUM",0.222222222222222,0.602491992045891,0.602547264004625
"31","OUTROS",0,0.282728580352691,0.465688542635417
"32","Colorado",0.888888888888889,0.452676438564783,0.331731051280605
"33","Nacional",0.222222222222222,0.260056735379469,0.465688542635417
"34","Colorado",0,0.543695747086335,0.428737792985682
"35","NENHUM",NA,0.321231189361936,0.560740722881517
"36","OUTROS",0.555555555555556,0.349757639163302,0.618405315920398
"37","Frente Amplio",0.555555555555556,0.209726152933798,0.662437565768868
"38","Frente Amplio",0,0.454135537993364,0.452536548125554
"39","Frente Amplio",0.666666666666667,0.378473797059904,0.617524450848394
"40","NENHUM",0.444444444444444,0.464645242553744,0.533134953476691
"41","Frente Amplio",1,0,0.465688542635417
"42","Frente Amplio",0.444444444444444,0.518107856525386,0.699436713767194
"43","NENHUM",1,0.300700620686317,0.657193932073869
"44","OUTROS",1,0.535586208663149,0.465688542635417
"45","Frente Amplio",0.333333333333333,0,0.944553681339586
"46","Nacional",0.555555555555556,0.53799333409848,0.444615389255805
"47","Nacional",0.444444444444444,0.314390292344422,0.554346438665144
"48","OUTROS",NA,0.209726152933798,0.545597100701392
"49","NENHUM",0.222222222222222,0.177182818578354,0.446349675123046
"50","NENHUM",NA,0.362872549436608,0.532873195295901
"51","Nacional",0.444444444444444,0.283995939482322,0.2117698427976
"52","OUTROS",0.333333333333333,0.36608553905024,0.776987428947657
"53","Nacional",0.444444444444444,0.226587137852994,0.348333028156102
"54","Nacional",1,0.452676438564783,0.410396081040863
"55","Colorado",0.111111111111111,0.366341768613256,0.454958634489802
"56","Nacional",0.444444444444444,0.348237822693063,0.465688542635417
"57","Nacional",0,0.53799333409848,0.672333622278218
"58","Colorado",0,0.452676438564783,0.804220375348695
"59","OUTROS",0.444444444444444,0.386704125669802,0.787792516686579
"60","Frente Amplio",1,0,0.779744208908258
"61","NENHUM",0.333333333333333,0.519923899142501,0.836963065990553
"62","Frente Amplio",0.222222222222222,0.0801893977548935,0.594806521565285
"63","Frente Amplio",0.111111111111111,0.142722571076002,0.368895439932183
"64","Frente Amplio",0.222222222222222,0.177182818578354,0.731838745930321
"65","Frente Amplio",0.444444444444444,0.239451188302945,0.483488524952324
"66","Frente Amplio",0.444444444444444,0.142722571076002,0.557716057533176
"67","Frente Amplio",0.444444444444444,0.143376161187289,0.696773065751953
"68","OUTROS",0,0.492066880648446,0.429250645429538
"69","NENHUM",NA,0,0.723958155348059
"70","Colorado",0.111111111111111,0.425725350264805,0.288943566913938
"71","Frente Amplio",0,0.452676438564783,0.358878096152789
"72","Frente Amplio",0.111111111111111,0.567698871848643,0.499161246971471
"73","Frente Amplio",0.666666666666667,0.142722571076002,0.508805270820555
"74","NENHUM",NA,0.46277623849989,0.610413463445686
"75","Colorado",0.888888888888889,0.486758107865839,0.435795310803243
"76","NENHUM",NA,0.417013990416998,0.428701755429757
"77","Frente Amplio",0.444444444444444,0.363012904947008,0.726465898092095
"78","Colorado",0.777777777777778,0.486758107865839,0.408000598073143
"79","Frente Amplio",1,0.602491992045891,0.408000598073143
"80","Frente Amplio",0.444444444444444,0.171264923379505,0.459244485269766
"81","Frente Amplio",0.555555555555556,0.469358309104994,0.2117698427976
"82","NENHUM",1,0.53799333409848,0.566208533396907
"83","Nacional",1,0.448567786201141,0.408000598073143
"84","Nacional",1,0.255903632826976,0.449445617912784
"85","Frente Amplio",0.777777777777778,0.142722571076002,0.514241487024746
"86","Frente Amplio",0.666666666666667,0.602491992045891,0.533134953476691
"87","Nacional",0.777777777777778,0.209726152933798,0.594806521565285
"88","Nacional",0.444444444444444,0.251986057313192,0.362883898189536
"89","Frente Amplio",0.777777777777778,0.209726152933798,0.350019771923993
"90","OUTROS",0.444444444444444,0.324486478756443,0.731838745930321
"91","Nacional",0.333333333333333,0.520078367353944,0.591471457230908
"92","Frente Amplio",0.777777777777778,0.142722571076002,0.514241487024746
"93","Nacional",0.555555555555556,0.35548122132577,0.402904793428074
"94","Colorado",NA,0.6839676174829,0.148337754332826
"95","Frente Amplio",0.777777777777778,0.453853925597784,0.672333622278218
"96","Frente Amplio",0.444444444444444,0,0.494983707948066
"97","NENHUM",0,0.222712268819063,0.550251740718491
"98","Frente Amplio",0.444444444444444,0.410909007507484,0.789115053205605
"99","NENHUM",0,0.52696893020054,0.574763650921366
"100","Frente Amplio",0,0.452676438564783,1
"101","Frente Amplio",0.777777777777778,0.297214433145378,0.911420780791806
"102","NENHUM",1,0.652488130415426,1
"103","Colorado",0.666666666666667,0.413213966914748,0.351686181328492
"104","Nacional",0.111111111111111,0.511509217838987,0.422359836540228
"105","Nacional",0,0.652488130415426,0.402696671459591
"106","Nacional",1,0.255903632826976,0.447469805664512
"107","Nacional",0,0.353299772387007,0.617524450848394
"108","Nacional",0.444444444444444,0.278391099715376,0.927055701021576
"109","Frente Amplio",0.444444444444444,0.602491992045891,0.780178269504518
"110","OUTROS",0,0.143376161187289,0.702513783795929
"111","OUTROS",1,0.203357007071612,0.880444676353744
"112","NENHUM",NA,0.344552780145425,0.582948801043231
"113","Frente Amplio",0.666666666666667,0.405194975976982,0.558645612360735
"114","OUTROS",0.666666666666667,0.437485064223572,0.465688542635417
"115","Nacional",NA,0.602491992045891,0.296262035782796
"116","Nacional",0.222222222222222,0.500071881272442,0.506445013239437
"117","NENHUM",0,0.486758107865839,0.757917197253657
"118","NENHUM",NA,0.856525440393842,0.78297599310994
"119","NENHUM",0,0.142722571076002,0.491195659390481
"120","Nacional",0.777777777777778,0.602491992045891,0.265480546620434
"121","NENHUM",0.222222222222222,0.275378249345771,0.835430223614688
"122","NENHUM",0.888888888888889,0.602491992045891,0.597120489717982
"123","OUTROS",0.222222222222222,0.253670553118432,0.78297599310994
"124","Nacional",0.333333333333333,0.184510193842745,0.64952597520423
"125","Frente Amplio",1,0.602491992045891,0.677690313996891
"126","Frente Amplio",1,0.602491992045891,0.410852392791656
"127","NENHUM",0,0.452676438564783,0.762071922698138
"128","NENHUM",0.333333333333333,0.316685529930636,0.533076920871367
"129","Colorado",0,0.209726152933798,0.569996083570797
"130","Colorado",0.555555555555556,0.278391099715376,0.754085417745813
"131","Frente Amplio",0.666666666666667,0.0801893977548935,0.516250125924952
"132","Frente Amplio",0.444444444444444,0.239078501927186,0.351669276687725
"133","Frente Amplio",1,0.30282849857878,0.54402835587692
"134","Frente Amplio",NA,0.313605562597841,0.428737792985682
"135","Frente Amplio",0.555555555555556,0.602491992045891,0.911420780791806
"136","Frente Amplio",0.777777777777778,0.301086034409489,0.598372040400731
"137","Frente Amplio",0,0.450795385632506,0.288943566913938
"138","Frente Amplio",0.666666666666667,0,0.80793179879465
"139","Frente Amplio",0.333333333333333,0.137679067674568,0.594726602532966
"140","Frente Amplio",1,0,0.911420780791806
"141","Nacional",1,0.255903632826976,0.362377085346808
"142","Nacional",0.444444444444444,0.435750006863782,0.354019022833383
"143","Colorado",0.222222222222222,0.405194975976982,0.2117698427976
"144","NENHUM",NA,0.343197475722106,0.466556977198104
"145","OUTROS",0,0.489134837770349,0.633450236867952
"146","Frente Amplio",0,0.452676438564783,0.788323325637956
"147","Frente Amplio",0.222222222222222,0.410099035271336,0.687513110552588
"148","Nacional",1,0.452676438564783,0.944553681339586
"149","Nacional",0.222222222222222,0.602491992045891,0.459348861392702
